"data.race","data.income"
"2346","black","$4000 to 4999"
"2347","black","$6000 to 6999"
"2348","black","$10000 - 14999"
"2349","white","$5000 to 5999"
"2350","white","$25000 or more"
"2352","white","$8000 to 9999"
"2353","black","$7000 to 7999"
"2354","black","$5000 to 5999"
"2355","white","$10000 - 14999"
"2356","white","$15000 - 19999"
"2357","black","$15000 - 19999"
"2358","white","$10000 - 14999"
"2359","white","$7000 to 7999"
"2360","white","$10000 - 14999"
"2361","white","$10000 - 14999"
"2362","white","$1000 to 2999"
"2363","white","$3000 to 3999"
"2364","white","$3000 to 3999"
"2365","white","$3000 to 3999"
"2366","white","$4000 to 4999"
"2367","white","$1000 to 2999"
"2368","white","$3000 to 3999"
"2369","white","$10000 - 14999"
"2370","white","lt $1000"
"2371","white","$6000 to 6999"
"2372","white","$25000 or more"
"2373","white","$3000 to 3999"
"2374","white","$10000 - 14999"
"2375","white","$1000 to 2999"
"2376","white","$25000 or more"
"2377","white","$10000 - 14999"
"2378","white","$4000 to 4999"
"2379","white","$10000 - 14999"
"2380","white","$5000 to 5999"
"2381","white","$6000 to 6999"
"2382","white","$3000 to 3999"
"2383","white","$10000 - 14999"
"2384","white","$10000 - 14999"
"2385","white","$20000 - 24999"
"2386","white","$8000 to 9999"
"2387","white","$20000 - 24999"
"2388","black","lt $1000"
"2389","black","$1000 to 2999"
"2390","black","$7000 to 7999"
"2391","black","$6000 to 6999"
"2392","black","$1000 to 2999"
"2393","black","$25000 or more"
"2394","black","$6000 to 6999"
"2395","black","$15000 - 19999"
"2396","black","$6000 to 6999"
"2397","black","$4000 to 4999"
"2398","white","$15000 - 19999"
"2399","white","$10000 - 14999"
"2400","white","$10000 - 14999"
"2401","white","$20000 - 24999"
"2402","white","$25000 or more"
"2403","white","$25000 or more"
"2404","white","$8000 to 9999"
"2405","white","$1000 to 2999"
"2406","white","$8000 to 9999"
"2407","white","$3000 to 3999"
"2408","white","$8000 to 9999"
"2410","white","$10000 - 14999"
"2412","white","$8000 to 9999"
"2413","white","$4000 to 4999"
"2414","white","$5000 to 5999"
"2415","white","$10000 - 14999"
"2416","white","$15000 - 19999"
"2417","white","$15000 - 19999"
"2418","white","$8000 to 9999"
"2419","white","$8000 to 9999"
"2420","white","$15000 - 19999"
"2421","white","$25000 or more"
"2422","white","$20000 - 24999"
"2424","white","$5000 to 5999"
"2425","white","$8000 to 9999"
"2426","white","$5000 to 5999"
"2427","white","$20000 - 24999"
"2428","white","$15000 - 19999"
"2429","white","$10000 - 14999"
"2431","white","$6000 to 6999"
"2432","white","$10000 - 14999"
"2433","white","$8000 to 9999"
"2434","white","$1000 to 2999"
"2435","white","$20000 - 24999"
"2436","white","$1000 to 2999"
"2437","white","$10000 - 14999"
"2438","white","$8000 to 9999"
"2439","white","$10000 - 14999"
"2440","white","$10000 - 14999"
"2441","white","$10000 - 14999"
"2442","white","$15000 - 19999"
"2443","white","$7000 to 7999"
"2444","white","$8000 to 9999"
"2445","white","$10000 - 14999"
"2446","white","$8000 to 9999"
"2447","white","$8000 to 9999"
"2448","white","$4000 to 4999"
"2449","white","$10000 - 14999"
"2450","white","$4000 to 4999"
"2451","white","$4000 to 4999"
"2453","white","$20000 - 24999"
"2454","white","$6000 to 6999"
"2455","white","$8000 to 9999"
"2456","white","$10000 - 14999"
"2457","white","$10000 - 14999"
"2459","white","$20000 - 24999"
"2460","white","$20000 - 24999"
"2461","white","$8000 to 9999"
"2462","white","$10000 - 14999"
"2463","black","$10000 - 14999"
"2464","black","lt $1000"
"2465","black","$8000 to 9999"
"2466","white","$3000 to 3999"
"2467","black","$4000 to 4999"
"2468","white","$1000 to 2999"
"2469","white","$10000 - 14999"
"2470","white","$8000 to 9999"
"2471","white","$10000 - 14999"
"2472","white","$6000 to 6999"
"2473","white","$20000 - 24999"
"2474","white","$25000 or more"
"2475","white","$10000 - 14999"
"2476","white","$10000 - 14999"
"2477","white","$1000 to 2999"
"2478","white","$3000 to 3999"
"2479","white","$7000 to 7999"
"2480","white","$10000 - 14999"
"2481","white","$10000 - 14999"
"2482","white","$8000 to 9999"
"2483","white","$10000 - 14999"
"2484","white","$10000 - 14999"
"2485","white","$4000 to 4999"
"2486","black","$15000 - 19999"
"2487","black","$6000 to 6999"
"2488","black","$1000 to 2999"
"2489","black","$1000 to 2999"
"2490","black","lt $1000"
"2491","black","$8000 to 9999"
"2492","black","$10000 - 14999"
"2493","black","$3000 to 3999"
"2495","black","$10000 - 14999"
"2496","white","$25000 or more"
"2498","white","$25000 or more"
"2499","white","$25000 or more"
"2501","white","$15000 - 19999"
"2502","white","$15000 - 19999"
"2503","white","$8000 to 9999"
"2504","white","$10000 - 14999"
"2505","white","$8000 to 9999"
"2506","black","$1000 to 2999"
"2507","black","lt $1000"
"2508","black","$1000 to 2999"
"2509","black","lt $1000"
"2510","black","$5000 to 5999"
"2516","black","lt $1000"
"2517","white","$1000 to 2999"
"2518","black","$6000 to 6999"
"2519","white","$6000 to 6999"
"2520","white","$8000 to 9999"
"2521","white","$15000 - 19999"
"2522","white","$10000 - 14999"
"2523","white","$8000 to 9999"
"2524","white","$10000 - 14999"
"2526","white","$4000 to 4999"
"2527","white","$10000 - 14999"
"2528","white","$1000 to 2999"
"2529","white","$8000 to 9999"
"2531","white","$1000 to 2999"
"2532","white","$15000 - 19999"
"2533","white","$10000 - 14999"
"2534","white","$10000 - 14999"
"2536","white","$15000 - 19999"
"2537","white","$15000 - 19999"
"2538","white","$10000 - 14999"
"2539","white","$7000 to 7999"
"2540","white","$15000 - 19999"
"2541","white","$1000 to 2999"
"2542","white","$10000 - 14999"
"2543","white","$10000 - 14999"
"2544","white","$15000 - 19999"
"2546","white","$8000 to 9999"
"2547","white","$10000 - 14999"
"2548","white","$10000 - 14999"
"2549","white","$4000 to 4999"
"2550","white","$15000 - 19999"
"2551","white","$8000 to 9999"
"2552","white","$10000 - 14999"
"2553","white","$8000 to 9999"
"2554","white","$10000 - 14999"
"2556","white","$20000 - 24999"
"2557","white","$15000 - 19999"
